1,2,48,Juxxxx Bruxxxx,1,(OVERALL EVALUATION) Incorrect format and unrelated content,"Overall evaluation: -3
Reviewer's confidence: 5
Recommend for best paper: no",-3,,,,,13/02/2018,03:04,no
2,2,63,Vitxxxx Casxxxx,2,"(OVERALL EVALUATION) The topic is interesting, and undoubtedly touches upon very important economic aspects of the world-wide coffee trade. However, I believe that it would be of interest to a (very) small group of JCDL attendees. I would suggest to present this topic to a more appropriate event.","Overall evaluation: -1
Reviewer's confidence: 2
Recommend for best paper: no",-1,,,,,15/02/2018,12:05,no
3,3,48,Juxxxx Bruxxxx,1,"(OVERALL EVALUATION) This poster analyzes responses from town hall-style meetings regarding smart communities and the implications for digital libraries. I found the methods to be confusing; the author appears to have listened to meetings and derived the opinions of the participants in the meetings and the associated implications on digital libraries in smart communities. Coupled with the double blind submission, the poorly defined methods and results leave enough doubt to prevent this from being accepted.","Overall evaluation: -1
Reviewer's confidence: 3
Recommend for best paper: no",-1,,,,,13/02/2018,3:13,no
4,3,63,Vitxxxx Casxxxx,2,"(OVERALL EVALUATION) Omni-comprehensive and multi-disciplinary infrastructures and their relationship with digital libraries are indeed actual topics, but in this brief abstract the considerations provided are at such a high level that they are not able to provide further insight or actual suggestions useful for those topics. Also “human centered” seem to be more buzz-words rather than actual requirements or features. 
If this contribution will be accepted, it might be worth to better present and discuss the concept of the library as a “digital octopus”, as this is one aspect of the actual (hot) discussions whether research data should be part of the library or rather part of the “digital laboratory” (i.e. the infrastructure) supporting the research activities.","Overall evaluation: 0
Reviewer's confidence: 4
Recommend for best paper: no",0,,,,,15/02/2018,12:06,no
6,4,326,Jacxxxx Saxx,1,"(OVERALL EVALUATION) The topics of the paper is clearly appropriate for the JCDL conference.  The authors presents a study of the effectiveness of four learning schemes used to predict the quality of a citation (binary:  important vs. marginal) in an corps of scientific papers (ACL corpus on computational linguistics). The experiment is based on a set of 450 citations (not so big).  

In a second part, the authors propose two new learning strategies (one based on SVM and random forest, the second on a deep learning architecture).  The experiment shows that a better performance (precision, Recall, F1) can be achieved by the two new proposed schemes.  A statistical test is missing to confirm this findings.    

minor points
Who are the experts (Page 3, Section 3).
Is the citation collection available? (Page 3, Section 3)
Section 4.1. not fully clear:  ""Each feature is divided into four categories""  Each feature or the whole feature set?
Section ""4 Results ..."" must be ""5. Results ..""
In Fig 2 and 3 :  add a space before ""(area =""
Page 7:  ""by using the-fold"" -> ""by using the three-fold""
""6 Conclusion""  -> ""7. Conclusion""
In the conclusion, the support for your learning scheme is a single collection... maybe another scientific domain can have a different citation pattern..

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) This is an interesting paper.  A few problems, but nothing that cannot be fixed in a final version.  
I don't fully understand why you reject it... but that's life...","Overall evaluation: 1
Reviewer's confidence: 4
Recommend for best paper: no",1,,,,,23/02/2018,16:06,no
7,4,90,Yixx Dxx,2,"(OVERALL EVALUATION) The current paper explores the rhetorical context of citations in scholarly big data. I provide several suggestions and hope the authors can consider: More sentences should be provided for better elaborating the motivation of this paper. This paper needs a thorough round of English proof reading. It also needs more methodological implications in the Conclusion section. Moreover, potential pros and cons of the algorithms in the 4.1-4.4 sections should be detailed more.","Overall evaluation: 1
Reviewer's confidence: 4
Recommend for best paper: no",1,Yi,Bu,buyi@iu.edu,353,08/02/2018,16:14,no
8,4,421,Bxx Y,3,"(OVERALL EVALUATION) This paper proposed a new classifier for citation purpose classification by consolidating features from four prior models, and also a LSTM model. Overall the paper does not demonstrate significant intellectual contribution for the following reasons:

First, consolidating prior models is incremental work, unless some insights were provided regarding the strength and weakness of each model, and how the new model addresses these issues. Unfortunately no such analysis was provided. 

Second, the use of LSTM model cannot be justified because LSTM takes sequence input, but the 64 features do not form sequence. The parameters like 52 input units do not match with the 64 features. More details are needed to explain the implementation of the LSTM. Because the data set is rather small with only hundreds of examples, a 5-layer LSTM model is likely overfitting.  

Other issues:

The authors did extensive literature review on related work. It would be more helpful if the classification tasks can be specifically described along with performance comparison in that different studies used different numbers of categories and their definitions vary as well.

The research method description could also include more rationale for critical choices. For example, in 3.1. why used three different tools (OpenNLP, StanfordParser and Factorie) for pre-processing? How are features like ""Author uses tools/algorithm of cited article"" extracted?","Overall evaluation: -2
Reviewer's confidence: 4
Recommend for best paper: no",-2,,,,,17/02/2018,5:36,no
10,4,8,Ghxxxx Abxxxx,4,"(OVERALL EVALUATION) the authors apply the Extra-Trees classifier to extract 29 best new features and create a new model that they use to apply Random Forest and Support Vector Machine to classify reference as important or not important. The new model improves on the state of the art by 11.25 according to the experimental results.
The paper is technically sound, the approach is described in details and the results are reasonable. My understanding is that the paper contributed two things:
1- identified new features that will help with enhancing model accuracy
2- compared different models using two different supervised learning approaches (SVM's and RF)

The related work section is a little long for a technical paper, however, it provided a nice survey of the previous work. I wish it was shorter and the extra space was used to better explain the paper contribution and add more tables such as the confusion matrix which I like to look at since I can get more information about the model performance. 

Using the LSTM was not justified especially since LSTM is not suitable for this kind of data. The only justification given is that it is a new popular approach which is not a good justification.","Overall evaluation: 1
Reviewer's confidence: 4
Recommend for best paper: no",1,,,,,24/02/2018,7:36,no
12,5,326,Jacxxxx Saxx,1,"(OVERALL EVALUATION) Interesting paper.  The authors have analyzed 75 papers on experiments / presentation / descriptions of deploying cloud services for libraries. The main results focus on data, patrons, library staff, IT infrastructure, cloud services, costs, and policies & contracts. Besides these main aspects, the authors underline that the librarians must understand the IT processes.  In addition, the authors mention clearly the problems related to the legal aspects, the risks, and the importance for librarians to support the new web services. 

In a second part, the paper presents seven main recommendations to help librarians in selecting / developing a set of cloud services (the service scope, managing the time, the costs, the quality, the human resource, the communication and the risks).   

The style and writing of the paper is clear and easy to follow.  The organisation is good and examples are used to help the reader to understand the underlying problems / issues / possible solutions. 

This paper might generate questions and discussions during the conference.","Overall evaluation: 3
Reviewer's confidence: 4
Recommend for best paper: yes",3,,,,,08/03/2018,21:18,no
14,5,411,Zhxxx Xx,2,"(OVERALL EVALUATION) The paper summarizes challenges reported in papers related to library cloud adaptions, then offers some general guidelines to address these challenges. While the topic is relevant and of interest to JCDL audiences, the paper does not go deep enough to reveal much new information not already well known. The methods section lacks details, making it difficult to evaluate the validity of the results. The recommendations section makes all identified challenges a project management issue, which lacks support from the literature and experience. A few other issues:

1. Figure 1 is too small. The clustering and the linking could be a major contribution of the paper but are not sufficiently addressed in the paper.
2. It is not clear how many of the identfied challenges are library specific. It feels like that they are in general limitations of any SaaS. These issues are being addressed by the industry, e.g., via govcloud, better tooled management interfaces, and better cost estimation, etc. It’s not clear if the challenges remain unresolved or have been alleviated by these new developments.
3. Are library journals the best place to mine these challenges? It may be the case that libraries lag behind the IT industry in cloud adoptions such that library SaaS is implemented poorer than industry average and then library personnel is poorer prepared for the transition? Or the quality of some papers can be lacking? For example, the UWHS example cited in the paper drawing from a single failure of adopting free cloud-based videoconferencing its conclusion that ‘UWHS is less likely to rely on any free, cloud application for any “critical project again”’. This clearly ignores the fact that a significant number of universities have already outsourced their email services to free google or Microsoft cloud services.
4. The focus on SaaS, in particular ILS, does not take into considerations of many other library cloud adoptions. Many institutional repository software, including Dspace and fedora, have developed cloud images and are widely used.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) Could still be accepted as a poster.","Overall evaluation: -1
Reviewer's confidence: 5
Recommend for best paper: no",-1,,,,,17/02/2018,0:33,no
